"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"IBPFAHIO_00850",59960.7150698666,59673.4073656639,59797.9742083961,91745.7037009218,92494.578202814,92456.8066500329
"IBPFAHIO_00851",10023.2837131717,10555.2308285437,10336.6897641974,19669.0623962493,21596.6135596005,24024.0070360523
"IBPFAHIO_00852",13368.6123902522,12431.0157359123,12312.5393756125,11228.1067488718,11162.0907854039,10771.2249009253
"IBPFAHIO_00853",45604.7861387432,38497.9237527538,41346.7590567897,2138.33887786766,2118.29339921311,1847.31553279694
"IBPFAHIO_00854",49.6545160905973,47.2886951437465,53.3148842799537,46.6048216971156,43.5452176283636,62.3357678447815
"IBPFAHIO_00855",2200.96529462043,2096.46548470609,2137.92685962614,7669.69153929198,7848.11828547862,7458.52409545973
"IBPFAHIO_00856",5360.3782254082,5278.6005954207,5225.92495712106,9755.02885522959,8979.38675178215,9249.44060020663
"IBPFAHIO_00857",3699.83882684357,3631.3777145802,3735.24079265356,2851.11850382354,2977.40425533936,3064.34719071886
"IBPFAHIO_00858",323.331732682959,393.087278382392,366.806403846081,685.365024957582,597.839550356076,663.925400378546
"IBPFAHIO_00859",8411.24407450955,8276.50683130446,8045.21603784501,9540.28114740955,9515.53724383138,9368.17539610145
"IBPFAHIO_00860",1750.61038124059,1684.65976449597,1789.24751643525,1884.29690861671,1840.69263683229,1768.15900220039
"IBPFAHIO_00861",617.794560662082,583.227240106206,551.275903454721,551.947300099173,572.438173406197,558.053540705663
"IBPFAHIO_00862",1631.67049386079,1681.70422104948,1667.68958027695,3192.88719626906,3391.99101484274,3330.51102484976
"IBPFAHIO_00863",563.521019818871,568.449522873786,564.07147568191,439.547436006129,667.693336968242,550.137887646008
"IBPFAHIO_00864",3714.85065728957,3473.74873076771,3910.1136130918,701.813785556564,773.834804937379,770.786716683886
"IBPFAHIO_00865",8773.83751758972,8336.60288138297,8237.14962125285,7122.3133393592,6939.11186748653,6848.02935323386
"IBPFAHIO_00866",19178.1907728521,16585.5246405202,17148.1993798043,8633.77167439898,9219.79264077207,8187.75363358043
"IBPFAHIO_00867",18018.815559946,18737.1602695607,17825.2984101597,8946.29812577964,9463.82729789769,9051.54927371526
"IBPFAHIO_00868",372.986248773556,371.413293108175,379.60197607327,938.493174175249,856.389280024484,877.648032989226
"IBPFAHIO_00869",546.19967699657,532.983001515976,572.601857166703,274.146009983033,261.271305770182,236.480135157187
"IBPFAHIO_00870",324.486488871112,368.457749661691,366.806403846081,625.966722794592,703.073826291288,700.535295779449
"IBPFAHIO_00871",1001.17361512902,822.626259271423,907.419330444812,572.965160864539,535.243300015303,512.538535612648
"IBPFAHIO_00872",0,3.9407245953122,1.06629768559907,0.913820033276776,0.907192033924242,0
"IBPFAHIO_00873",0,0,0,0,0,0
"IBPFAHIO_00874",23.0951237630685,24.6295287207013,24.5248467687787,19.1902206988123,27.2157610177273,24.7364158114212
"IBPFAHIO_00875",2747.164971617,2823.52917254119,2849.14741592073,1717.98166256034,1673.76930259023,1570.26767570902
"IBPFAHIO_00876",6535.92002494839,5876.60555275933,6193.05695795942,4889.85099806403,4723.74892064353,4579.2052950103
"IBPFAHIO_00877",1240.20814607678,1186.15810318897,1163.33077498859,2930.62084671862,2732.46240617982,2489.47288726143
"IBPFAHIO_00878",1710.19391465522,1545.74922251121,1647.42992425057,4277.59157576859,4203.92788520494,4078.54023898713
"IBPFAHIO_00879",1353.37425251581,1485.6531724327,1529.07088114907,4739.98451260664,4720.12015250783,4389.22962157858
"IBPFAHIO_00880",3928.48055209795,3812.65104596456,3805.61643990309,18004.082295619,18377.8962232373,18803.63384321
"IBPFAHIO_00881",3512.76832436272,3423.50449217748,3419.61667771623,9605.1623697722,9975.48360503097,9666.00184247096
"IBPFAHIO_00882",173.213428223014,155.658621514832,138.61869912788,792.281968850965,830.080711040682,920.19466818487
"IBPFAHIO_00883",0,0,0,0.913820033276776,1.81438406784848,0.98945663245685
"IBPFAHIO_00884",7062.48884674635,7294.28122592289,6942.66423093557,10333.4769362938,11372.5593372743,10816.7399060183
"IBPFAHIO_00885",3015.06840726859,3259.96442147202,3012.29096181738,6936.80787260401,7268.42257580103,6656.07476653723
"IBPFAHIO_00886",2848.7835161745,2686.5889928541,2681.73867928167,6561.22783892725,5958.43727881442,5474.66354738375
"IBPFAHIO_00887",1591.25402727542,1661.01541692409,1566.39130014504,4254.74607493667,4440.70500605917,4447.60756289354
"IBPFAHIO_00888",342.962587881567,395.057640680049,325.220794107718,1046.32393810191,1022.40542223262,966.699129910342
"IBPFAHIO_00889",318.712707930345,298.5098880949,292.165565854146,726.486926455037,750.247812055348,851.922160545348
"IBPFAHIO_00890",1235.58912132416,1220.63944339796,1233.70642223813,3544.70790908062,3331.20914856982,3134.5986116233
"IBPFAHIO_00891",1592.40878346357,1664.95614151941,1548.26423948986,4221.84855373871,4362.68649114168,4316.99928740923
"IBPFAHIO_00892",1354.52900870397,1335.90563781084,1352.06546533963,3825.25065929659,4169.45458791582,3714.42019824301
"IBPFAHIO_00893",541.580652243956,583.227240106206,542.745521969929,1416.421051579,1395.26134817548,1341.70319361149
"IBPFAHIO_00894",336.034050752647,386.191010340596,339.082664020505,953.114294707678,889.955385279682,966.699129910342
"IBPFAHIO_00895",1195.1726547388,1344.77226815029,1246.50199446532,2350.34512558787,2249.83624413212,2257.94003526653
"IBPFAHIO_00896",225.177456689918,227.57684537928,199.397667207027,407.563734841442,448.152864758576,450.202767767867
"IBPFAHIO_00897",2064.70406441832,1951.64385582837,1916.13694102154,6387.60203260467,6606.17239103633,6463.13072320814
"IBPFAHIO_00898",1.15475618815343,0.985181148828051,0,0.913820033276776,0.907192033924242,0
"IBPFAHIO_00899",4711.40524766597,4548.58136413911,4500.84253091369,18617.2555379478,18366.1027267963,18392.0198841079
"IBPFAHIO_00900",1673.24171663431,1631.45998245925,1622.90507748179,6627.02288132318,6539.04018052594,7038.99448329803
"IBPFAHIO_00901",1125.88728344959,1131.97314000343,1188.92191944297,4940.11109989425,4956.89727336206,4997.74545053955
"IBPFAHIO_00902",269.058191839748,332.991228303881,293.231863539745,2069.8023753719,2266.16570074276,2385.57994085346
"IBPFAHIO_00903",2356.85738002114,2251.1389250721,2180.57876705011,6583.1595197259,6260.5322261112,6121.76818501053
"IBPFAHIO_00904",6389.2659890529,6637.16539965458,6409.51538813603,12222.3429450769,12524.6932203581,12193.0740817658
"IBPFAHIO_00905",3379.97136272508,3409.71195609388,3326.84877906911,6787.85520717989,6994.45058155591,6775.79901906451
"IBPFAHIO_00906",11122.6116042938,11127.6210760128,10895.4297514513,19090.6143151851,17546.0011281288,17204.6719251597
"IBPFAHIO_00907",2006.96625501065,1941.79204434009,2019.56781652465,3872.76930102698,3591.57326230607,3752.01955027637
"IBPFAHIO_00908",2741.39119067623,3027.4616703486,2869.40707194711,7181.71164152219,7534.22984174083,6992.49002157256
"IBPFAHIO_00909",1874.16929337301,1844.25911060611,1855.35797294239,3732.95483593563,3500.85405891365,3558.08605031483
"IBPFAHIO_00910",1322.19583543567,1238.37270407686,1107.88329533744,2081.6820358045,2002.1728188708,1942.3033695128
"IBPFAHIO_00911",1914.58575995838,1671.8524095612,1722.0707622425,3235.83673783306,2625.41374617676,2611.17605305363
"IBPFAHIO_00912",1541.59951118482,1479.74208553973,1564.25870477384,3185.57663600284,2334.20510328707,2357.87515514467
"IBPFAHIO_00913",1864.93124386778,1828.49621222486,1735.93263215529,3424.99748472136,3286.75673890753,3014.87435909602
"IBPFAHIO_00914",5555.53202120613,4872.70596210354,5091.57144873558,7917.33676830999,7760.12065818797,7570.33269492736
"IBPFAHIO_00915",2090.1087005577,2307.2942505553,2269.08147495483,5118.30600638322,4690.18281538833,4652.42508581211
"IBPFAHIO_00916",1072.76849879453,985.181148828051,1002.31982446313,318.009371580318,297.558987127151,293.868619839684
"IBPFAHIO_00917",8623.71921312978,8349.41023631773,8639.1438487237,3774.99055746636,3973.50110858818,3915.27989463175
"IBPFAHIO_00918",21.9403675749151,21.6739852742171,19.1933583407833,27.4146009983033,35.3804893230454,42.5466351956445
"IBPFAHIO_00919",0,0,0,0,0,0
"IBPFAHIO_00920",1.15475618815343,0,0,0.913820033276776,0.907192033924242,0
"IBPFAHIO_00921",1.15475618815343,0,0,0.913820033276776,0,2.96836989737055
"IBPFAHIO_00922",0,0,0,0,0,0
"IBPFAHIO_00923",1.15475618815343,0,0,0,0,0
"IBPFAHIO_00924",0,0,0,0,0,0
"IBPFAHIO_00926",24.2498799512219,30.5406156136696,36.2541213103685,5.48292019966066,6.35034423746969,3.9578265298274
"IBPFAHIO_00927",0,0,0,0,0,0
"IBPFAHIO_00928",0,0,0,0,0,0
"IBPFAHIO_00929",0,0,0,0,0,0
"IBPFAHIO_00930",90.0709826759672,78.8144919062441,70.3756472495389,17.3625806322588,15.4222645767121,12.862936221939
"IBPFAHIO_00931",0,0,0,0,0,0
"IBPFAHIO_00932",0,0,0,0,0,0
"IBPFAHIO_00933",0,0,0,0,0,0
"IBPFAHIO_00934",414.55747154708,481.753581776917,456.375409436404,21.9316807986426,17.2366486445606,15.8313061193096
"IBPFAHIO_00935",357.974418327562,383.235466894112,355.077129304492,24.673140898473,28.1229530516515,39.578265298274
"IBPFAHIO_00936",1717.12245178414,1785.14824167643,1835.09831691601,82.2438029949099,70.7609786460909,76.1881606991774
"IBPFAHIO_00937",20.7856113867617,32.5109779113257,27.7237398255759,1.82764006655355,0,0.98945663245685
"IBPFAHIO_00938",290.998559414663,278.806265118338,245.248467687787,1.82764006655355,4.53596016962121,5.9367397947411
"IBPFAHIO_00939",362.593443080175,371.413293108175,401.994227470851,7.31056026621421,4.53596016962121,5.9367397947411
"IBPFAHIO_00940",237.879774759606,263.04336673709,219.657323233409,3.65528013310711,4.53596016962121,4.94728316228425
"IBPFAHIO_00941",359.129174515715,344.813402089818,365.740106160482,8.22438029949099,2.72157610177273,5.9367397947411
"IBPFAHIO_00942",244.808311888526,241.369381462873,203.662857949423,2.74146009983033,3.62876813569697,1.9789132649137
"IBPFAHIO_00943",247.117824264833,299.495069243728,297.497054282142,6.39674023293743,4.53596016962121,4.94728316228425
"IBPFAHIO_00944",99.3090321811946,103.444020626945,75.7071356775343,2.74146009983033,4.53596016962121,1.9789132649137
"IBPFAHIO_00945",941.126293345042,948.729446321413,908.485628130411,16.448760598982,13.6078805088636,15.8313061193096
