Gene	ERR1797969	ERR1797970	ERR1797971	ERR1797972	ERR1797973	ERR1797974
IBPFAHIO_00482	4287	4529	4254	952	911	720
IBPFAHIO_00483	8030	8539	8494	5816	5831	4949
IBPFAHIO_00484	1018	1146	981	1489	1473	1585
IBPFAHIO_00485	12089	13612	12605	4501	4526	3669
IBPFAHIO_00486	239	266	305	1003	899	871
IBPFAHIO_00487	200	284	256	209	248	258
IBPFAHIO_00488	65654	73314	70617	31776	28143	25533
IBPFAHIO_00489	1120	1528	1173	1258	1615	1679
IBPFAHIO_00490	1910	2309	1985	2615	2450	2363
IBPFAHIO_00491	3091	3636	3599	359	315	348
IBPFAHIO_00492	1153	1390	1290	7833	6901	6566
IBPFAHIO_00493	3881	4336	4133	18758	17788	15526
IBPFAHIO_00494	1826	1759	1612	1153	1037	968
IBPFAHIO_00495	1415	1704	1570	1611	1521	1316
IBPFAHIO_00496	991	1110	1102	2199	2082	1890
IBPFAHIO_00497	8348	9367	8651	4686	4084	3725
IBPFAHIO_00498	4304	4953	4683	14967	11940	10700
IBPFAHIO_00499	25695	28592	27010	4272	4489	3956
IBPFAHIO_00500	559	644	548	3067	2926	2617
IBPFAHIO_00501	26	19	28	21	21	22
IBPFAHIO_00502	702	828	714	951	1010	844
IBPFAHIO_00503	650	783	725	3951	3408	2852
IBPFAHIO_00504	702	859	711	8913	8326	7669
IBPFAHIO_00505	826	1118	907	12835	14866	12805
IBPFAHIO_00506	3573	3877	3754	5442	5713	5146
IBPFAHIO_00507	317	374	390	1042	1067	1075
IBPFAHIO_00508	976	1049	955	1967	1936	1803
IBPFAHIO_00509	214	263	190	364	355	340
IBPFAHIO_00510	2052	2294	2068	4345	4250	3827
IBPFAHIO_00511	381	455	376	1295	1461	1278
IBPFAHIO_00512	872	1042	1016	1418	1324	1253
IBPFAHIO_00513	477	583	521	960	832	827
IBPFAHIO_00514	4396	4543	4445	6927	6013	5231
IBPFAHIO_00515	3311	3869	3760	4133	4467	3979
IBPFAHIO_00516	1082	1304	1221	4824	4420	4189
IBPFAHIO_00517	3395	3894	3462	15352	14835	13126
IBPFAHIO_00518	724	850	722	6355	6494	5763
