"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBPFAHIO_02912",55.5751775825997,1.11805725987786,0.253386657923197,4.41245513493749,1.02204978257378e-05,1.68390580917441e-05
"IBPFAHIO_02913",40.6838655628377,1.47920382062048,0.297473266735193,4.97256051562189,6.60743358404485e-07,1.13162228296864e-06
"IBPFAHIO_02914",187.461601752001,1.56997268275805,0.14868721574901,10.5588948911938,4.62069506836448e-26,1.24550627428347e-25
"IBPFAHIO_02915",28.5801257236013,1.30088951920041,0.356345659634141,3.65063943962733,0.000261588247056822,0.00039837636543532
"IBPFAHIO_02916",28.9267205716075,1.0282216702618,0.361189576759073,2.84676451487875,0.00441660198002216,0.00624797783651361
"IBPFAHIO_02917",32.2208540556351,0.968695801445626,0.330763171278888,2.92866886509821,0.0034041686603209,0.00483677333255255
"IBPFAHIO_02918",172.516730331972,1.0917868458379,0.147193283194745,7.41736866072485,1.19470062426707e-13,2.51021367121283e-13
"IBPFAHIO_02919",11.5466119863855,1.22960464572275,0.548464048456981,2.2419056439197,0.0249674712039452,0.0331717024166092
"IBPFAHIO_02920",103.462267130771,1.29593349344078,0.189270073264995,6.8470068779778,7.54110937447032e-12,1.50822187489406e-11
"IBPFAHIO_02921",75.6671212751006,1.35177762732089,0.220209434506044,6.13859996667761,8.32519168085432e-10,1.55875929343655e-09
"IBPFAHIO_02922",43.3344556222089,0.825925560985027,0.280978019641862,2.93946680255545,0.00328777489128812,0.00468206686089198
"IBPFAHIO_02923",0.192459364692238,1.14992122140206,3.99204880770588,0.288052896342941,0.773306248334905,0.808149596583316
"IBPFAHIO_02924",0,NA,NA,NA,NA,NA
"IBPFAHIO_02925",0,NA,NA,NA,NA,NA
"IBPFAHIO_02926",0,NA,NA,NA,NA,NA
"IBPFAHIO_02927",34.4471437013587,1.33359752928062,0.325331675269917,4.09919362501109,4.14592087779346e-05,6.62992798843294e-05
"IBPFAHIO_02928",117.286853602864,1.28875454971858,0.176682519333948,7.29418255171413,3.00477797974497e-13,6.25629486109739e-13
"IBPFAHIO_02929",1.35892909617756,0.193030012072376,1.5420826034698,0.125174884690382,0.900385099951143,0.919123923252754
"IBPFAHIO_02930",375.146942228448,1.71569582250216,0.119284558794751,14.3832180781614,6.59550288922769e-47,2.40949263059454e-46
"IBPFAHIO_02931",426.846775084132,1.42975527711195,0.106363561206933,13.4421531292124,3.42328913480208e-41,1.15343255532971e-40
"IBPFAHIO_02932",72.6972642522239,1.88712907989422,0.237954782114276,7.9306205285168,2.18053562936115e-15,4.79365363927154e-15
"IBPFAHIO_02933",109.367216179439,0.626612381689542,0.185052997598771,3.38612392028446,0.000708873652721533,0.00104997523214991
"IBPFAHIO_02934",1013.06835483868,-0.0458467473502001,0.0802223620768201,-0.571495854314259,0.567663569740071,0.614934612839352
"IBPFAHIO_02935",1114.74970759787,1.71451453326875,0.0761169919710476,22.5247279072838,2.37614715855883e-112,1.60122349063244e-111
"IBPFAHIO_02936",94.7585460805135,1.73797331974698,0.206517222757507,8.41563379819276,3.90776287083591e-17,8.91840313466137e-17
"IBPFAHIO_02937",521.619966531547,2.62195107587623,0.107547597762939,24.379448080799,2.82552873963876e-131,2.15662805841816e-130
"IBPFAHIO_02938",482.006123401382,2.13704505466749,0.123690148953421,17.2774070752575,6.96077052158251e-67,3.22393582052242e-66
"IBPFAHIO_02939",643.985787640269,1.56223510076394,0.0922190729619962,16.9404771766437,2.26281708625299e-64,1.0074923693555e-63
"IBPFAHIO_02940",902.55258455775,1.33610689424904,0.083449808552273,16.0109042480559,1.07239870719724e-57,4.52555279539371e-57
"IBPFAHIO_02941",234.791315383842,1.22240127034202,0.129672142172836,9.42686108102322,4.22544614009266e-21,1.04483759100473e-20
"IBPFAHIO_02942",320.562881377617,0.611622487013009,0.117955509752927,5.18519642104156,2.15787318031556e-07,3.76025425480731e-07
"IBPFAHIO_02943",272.477852231402,1.08075043269789,0.125719214816707,8.59654138210749,8.21545090499691e-18,1.90991679158902e-17
